Name,Family,Formation,Target Area,Equipment,Sections,Link,Comments
Laterla Shuffle + Hop Over,Shuffle,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5837424?context=videos,
Lateral High Knee ZigZag,High Knees,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5837420?context=videos,
Lateral Front to Back ZigZag,Run,Lateral,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/5837419?context=videos,
Cardio Combo | Forward to Back Pedal & Speed Skaters,Speed Skaters,Linear,Legs,Cones/Cups,SAQ,https://education.fit4mom.com/node/6166706?context=videos,
Linear Squat Jumps Over Cups,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,Cones/Cups,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
,,,,,SAQ,,
